City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,New Norfolk,AU,2021-04-16 19:50:31,-42.7826,147.0587,53.01,74,100,3.0
59,Jamestown,US,2021-04-16 19:50:32,42.097,-79.2353,39.0,93,90,12.66
60,Floresta,BR,2021-04-16 19:50:32,-8.6011,-38.5686,83.48,54,100,12.55
61,Port Alfred,ZA,2021-04-16 19:50:32,-33.5906,26.891,62.65,62,6,16.67
62,Mounana,GA,2021-04-16 19:50:33,-1.4085,13.1586,72.63,94,100,4.32
63,Hermanus,ZA,2021-04-16 19:46:08,-34.4187,19.2345,64.99,65,0,4.0
64,Acapulco,MX,2021-04-16 19:50:33,16.8634,-99.8901,85.77,50,65,10.42
65,Fortuna,US,2021-04-16 19:50:33,40.5982,-124.1573,53.01,87,1,14.97
66,Kodiak,US,2021-04-16 19:50:34,57.79,-152.4072,41.0,81,90,11.5
67,Nador,MA,2021-04-16 19:50:34,35.174,-2.9287,57.2,88,20,2.3
68,Lisakovsk,KZ,2021-04-16 19:50:34,52.5369,62.4936,46.26,88,66,11.97
69,Skjervoy,NO,2021-04-16 19:50:35,70.0311,20.9714,42.8,70,75,16.11
70,Thompson,CA,2021-04-16 19:50:35,55.7435,-97.8558,48.2,25,20,6.91
71,Hollister,US,2021-04-16 19:50:35,36.8525,-121.4016,71.01,42,1,5.97
72,Katsuura,JP,2021-04-16 19:50:35,35.1333,140.3,59.0,82,99,14.29
73,Wattegama,LK,2021-04-16 19:50:36,6.7989,81.4808,75.2,100,20,2.3
74,Elko,US,2021-04-16 19:50:36,41.0002,-115.5012,51.01,35,100,13.0
75,Srednekolymsk,RU,2021-04-16 19:50:36,67.45,153.6833,5.05,97,94,6.46
76,Laguna,US,2021-04-16 19:50:37,38.421,-121.4238,75.0,32,1,5.75
77,Sao Paulo De Olivenca,BR,2021-04-16 19:50:37,-3.3783,-68.8725,78.96,94,100,3.76
78,Jiazi,CN,2021-04-16 19:50:37,22.8779,116.067,71.71,78,63,5.64
79,Kapaa,US,2021-04-16 19:50:38,22.0752,-159.319,73.99,73,1,8.05
80,Pevek,RU,2021-04-16 19:50:38,69.7008,170.3133,20.98,95,100,9.06
81,Hilo,US,2021-04-16 19:47:15,19.7297,-155.09,78.8,53,1,4.85
