City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
532,Pringsewu,ID,78.01,scattered clouds,-5.3582,104.9744,Urban Style by Front One
536,Gat,IL,80.01,overcast clouds,31.61,34.7642,OlusHome
538,Manado,ID,84.2,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
540,Mount Isa,AU,80.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
541,Galesong,ID,78.8,few clouds,-5.3166,119.3661,Sapriadi Appy
542,Atambua,ID,79.52,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
545,Mangrol,IN,78.42,clear sky,21.1167,70.1167,Hotel The Royal Honours
547,Denpasar,ID,82.4,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
554,Nushki,PK,70.61,overcast clouds,29.5542,66.0215,Jahangir Hotel Noshki
556,Funadhoo,MV,84.15,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
560,Lucea,JM,84.2,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
564,Cozumel,MX,82.4,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
567,Mogadishu,SO,81.99,light rain,2.0371,45.3438,Hotel Juba
568,Humaita,BR,72.99,broken clouds,-7.5061,-63.0208,Corrêa Hotel
569,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
570,Dalbandin,PK,74.46,overcast clouds,28.8947,64.4101,Sanjrani House
573,Benguela,AO,79.68,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
576,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
579,Kandrian,PG,87.94,broken clouds,-6.2167,149.55,Kandrian Station
594,Champerico,GT,86.0,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
598,Nokha,IN,78.21,clear sky,27.6,73.4167,gu khana
601,Bambanglipuro,ID,81.03,scattered clouds,-7.95,110.2833,Puri Brata
603,Cap Malheureux,MU,78.01,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
604,Alexandria,EG,71.6,clear sky,31.2156,29.9553,Royal Crown Hotel
605,Pandan,PH,78.28,moderate rain,14.0453,124.1694,Bonifacio Lodge
606,Panaba,MX,78.48,overcast clouds,21.2833,-88.2667,Posada rosario
615,Liku,ID,82.76,light rain,-0.7275,119.8922,Kost Raisa & homestay
620,Conceicao Do Araguaia,BR,73.4,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
624,Bilma,NE,84.38,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
627,Dulce Nombre De Culmi,HN,86.0,broken clouds,15.1,-85.5333,Hotel Posada Real
628,Olinda,BR,73.4,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
632,Bago,MM,78.8,clear sky,17.3367,96.4797,Jade Garden
636,Port-Gentil,GA,80.92,light rain,-0.7193,8.7815,Fengshui Residence
638,Tirumullaivasal,IN,82.18,overcast clouds,11.2333,79.8333,Hajaali
641,Busilac,PH,75.58,overcast clouds,16.477,121.1186,Tatins Resort
645,Sinnamary,GF,77.58,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
648,Port Keats,AU,83.82,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
652,Cienfuegos,CU,80.6,overcast clouds,22.1461,-80.4356,Casa Claumar B2BPay
654,Lhokseumawe,ID,76.78,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
655,Casa Grande,US,80.01,broken clouds,32.8795,-111.7573,Holiday Inn Casa Grande
657,Nauta,PE,76.1,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
658,Villa Juarez,MX,86.0,clear sky,24.6536,-107.5411,Casa de la Abuela
661,Alugan,PH,75.36,moderate rain,12.2188,125.4808,JM Lodge
662,Choix,MX,81.55,clear sky,26.7092,-108.3219,Hotel Montesclaros
664,Don Sak,TH,84.0,few clouds,9.3168,99.6918,Sea Sun Moon Hostel
667,Kismayo,SO,80.19,light rain,-0.3582,42.5454,Agan-Hotel
676,Mitsamiouli,KM,80.22,light rain,-11.3847,43.2844,Foyer ADM
678,Oussouye,SN,75.2,clear sky,12.485,-16.5469,Auberge du Routard
679,Quelimane,MZ,73.4,light rain,-17.8786,36.8883,Hotel Flamingo
680,Mana,GF,77.34,overcast clouds,5.6592,-53.7767,LE SAMANA
682,Ilebo,CD,72.07,light rain,-4.3167,20.5833,Hôtel BUMAK
684,Pitimbu,BR,73.4,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
685,Ocos,GT,86.0,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
686,Poso,ID,84.0,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
687,Manavalakurichi,IN,80.6,mist,8.1333,77.3,Udaya Boys Hostel
689,Ponnani,IN,77.0,mist,10.767000000000001,75.9252,Rouba Residency
695,Balikpapan,ID,79.34,light rain,-1.2675,116.8289,ibis Balikpapan
697,Bandarbeyla,SO,81.91,clear sky,9.4942,50.8122,JABIR HOTEL
702,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
708,Abu Dhabi,AE,75.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
